"Handle","Title","Option1 Name","Option1 Value","Tagline (product.metafields.custom.tagline)","Capacidade (product.metafields.custom.capacidade)","Badge (product.metafields.custom.badge)","Inclui (product.metafields.custom.includes)","Benefícios (product.metafields.custom.benefits)","Garantia (product.metafields.custom.warranty)","Nota de dimensões (product.metafields.custom.dimensions_note)"
"set-3-soapstone-pots-large","Conjunto de 3 Panelas de Pedra-Sabão (Grandes)","Title","Default Title","Para quem gosta de cozinhar em maior quantidade","2L + 3L + 4L · Gás · Fogão a Lenha · Forno","Conjunto Especial","[""1 x Panela de pedra-sabão de 2 litros"",""1 x Panela de pedra-sabão de 3 litros"",""1 x Panela de pedra-sabão de 4 litros""]","[""Tem a capacidade de liberar gradualmente o calor contido na pedra, mantendo os alimentos quentes por cerca de 1 a 2 horas após o cozimento."",""Muito mais saudável! Estudos recentes indicam a transferência de nutrientes benéficos (Fe, Zn, Ca, Mg) da panela para a comida."",""A pedra-sabão é um material extremamente durável; se bem cuidada, durará centenas de anos."",""As panelas são naturalmente antiaderentes, facilitando muito a limpeza e o cozimento."",""Pode ser usada em fogão a gás, fogão a lenha e também no forno!""]","3 meses contra defeitos de fabricação.","As panelas de pedra são feitas em um processo totalmente artesanal, por isso pode haver pequenas variações nas dimensões das peças."
"set-4-pots-1-grill","Conjunto de 4 Panelas de Pedra e 1 Grelha 1L | 1,5L | 2L | 3L + Brinde","Title","Default Title","Um conjunto versátil de 5 peças para toda a cozinha","1L + 1,5L + 2L + 3L + Grelha · Gás · Fogão a Lenha · Forno","Conjunto Especial","[""1 x Frigideira de 1 litro (Altura: 5 cm x diâmetro: 18 cm)"",""1 x Panela de 1,5 litro (Altura: 9,5 cm x diâmetro: 18 cm)"",""1 x Panela de 2 litros (Altura: 9,5 cm, diâmetro: 23 cm)"",""1 x Panela de 3 litros (Altura: 10 cm, diâmetro: 22 cm)"",""1 x Grelha (27 cm)"",""1 x Manual de cura"",""1 x Brinde Grátis (selecionado conforme disponibilidade de estoque)""]","[""Tem a capacidade de liberar gradualmente o calor contido na pedra, mantendo os alimentos quentes por cerca de 1 a 2 horas após o cozimento."",""Muito mais saudável! Estudos recentes indicam a transferência de nutrientes benéficos (Fe, Zn, Ca, Mg) da panela para a comida."",""A pedra-sabão é um material extremamente durável; se bem cuidada, durará centenas de anos."",""As panelas são naturalmente antiaderentes, facilitando muito a limpeza e o cozimento."",""Pode ser usada em fogão a gás, fogão a lenha e também no forno!""]","3 meses contra defeitos de fabricação.","As panelas de pedra são feitas em um processo totalmente artesanal, por isso pode haver pequenas variações nas dimensões das peças."
"set-3-pots-pressure-cooker-5l","Conjunto de 3 Panelas de Pedra + Panela de Pressão - 5 litros","Title","Default Title","Tradição, função e elegância em um só conjunto","Panela de Pressão 5L + 3L + 2L + 1,5L · Gás · Elétrico · Carvão · Fogão a Lenha","Conjunto Especial","[""1 x Panela de Pressão de 5 litros (Diâmetro: 23 cm, Altura: 15 cm, ~5,0 kg)"",""1 x Panela de 3 litros (Diâmetro: 22 cm, Altura: 10 cm, ~4,0 kg)"",""1 x Panela de 2 litros (Diâmetro: 17 cm, Altura: 9 cm, ~3,2 kg)"",""1 x Panela de 1,5 litro (Diâmetro: 14 cm, Altura: 8 cm, ~2,0 kg)""]","[""Aquecimento uniforme e eficiente em toda a peça."",""Mantém os alimentos quentes por mais tempo, pois a pedra retém o calor após sair da fonte de calor."",""Compatível com fogão a gás, elétrico, carvão e lenha (exceto indução)."",""Design artesanal que valoriza sua cozinha, com minerais naturais (ferro, cálcio, manganês) transferidos para a comida."",""Durabilidade e resistência — cada peça artesanal é única e feita para durar.""]","3 meses contra defeitos de fabricação.","Por ser um produto 100% artesanal, podem ocorrer pequenas variações de medidas, capacidade e design, tornando cada peça única. Iniciamos o processo de cura antes do envio, e você precisará concluí-lo seguindo nossas instruções."
"complete-set-5-pieces-mortar","Conjunto Completo de Panelas de Pedra – 5 Peças + Pilão","Title","Default Title","Tudo o que sua cozinha precisa, mais um pilão de brinde","Frigideira 1L + 1,5L + 2L + Panela de Pressão 3L + Grelha · Gás · Fogão a Lenha · Forno","Conjunto Completo","[""1 x Frigideira de 1 litro (18 cm de diâmetro)"",""1 x Panela de 1,5 litro"",""1 x Panela de 2 litros"",""1 x Panela de pressão de 3 litros"",""1 x Grelha (23 cm de diâmetro)"",""1 x Pilão de pedra-sabão (brinde)""]","[""Tem a capacidade de liberar gradualmente o calor contido na pedra, mantendo os alimentos quentes por cerca de 1 a 2 horas após o cozimento."",""Muito mais saudável! Estudos recentes indicam a transferência de nutrientes benéficos (Fe, Zn, Ca, Mg) da panela para a comida."",""A pedra-sabão é um material extremamente durável; se bem cuidada, durará centenas de anos."",""As panelas são naturalmente antiaderentes, facilitando muito a limpeza e o cozimento."",""Pode ser usada em fogão a gás, fogão a lenha e também no forno!""]","3 meses contra defeitos de fabricação.","As panelas de pedra são feitas em um processo totalmente artesanal, por isso pode haver pequenas variações nas dimensões das peças."
"versatile-kitchen-cookware-set","Conjunto de Panelas de Pedra – Cozinha Versátil","Title","Default Title","Um conjunto versátil para todas as necessidades da cozinha","Frigideira 23cm + Panela 2L + Panela de Pressão 3L + Pilão · Gás · Fogão a Lenha · Forno","Conjunto Completo","[""1 x Frigideira de 23 cm (3,2 cm de altura x 23 cm de diâmetro)"",""1 x Panela de 2 litros (9,5 cm de altura x 22 cm de diâmetro)"",""1 x Panela de pressão de 3 litros (14,5 cm de altura x 19 cm de diâmetro)"",""1 x Pilão de pedra-sabão com faixa de cobre"",""1 x Manual de cura""]","[""Tem a capacidade de liberar gradualmente o calor contido na pedra, mantendo os alimentos quentes por cerca de 1 a 2 horas após o cozimento."",""Muito mais saudável! Estudos recentes indicam a transferência de nutrientes benéficos (Fe, Zn, Ca, Mg) da panela para a comida."",""A pedra-sabão é um material extremamente durável; se bem cuidada, durará centenas de anos."",""As panelas são naturalmente antiaderentes, facilitando muito a limpeza e o cozimento."",""Pode ser usada em fogão a gás, fogão a lenha e também no forno!""]","3 meses contra defeitos de fabricação.","As panelas de pedra são feitas em um processo totalmente artesanal, por isso são medidas em litros, o que pode resultar em pequenas variações nas dimensões."
"osmenino-stone-cookware-set","Conjunto de Panelas de Pedra Osmenino","Title","Default Title","Uma cozinha de artesão completa em pura pedra-sabão","Panela de Pressão 3L + Panelas 3L + 2L + 1,5L + Frigideira 23cm · Gás · Elétrico · Carvão · Fogão a Lenha","Conjunto Premium","[""1 x Panela de Pressão de 3 litros (Diâmetro: 23 cm, Altura: 12 cm, ~5,0 kg)"",""1 x Panela de 3 litros (Diâmetro: 22 cm, Altura: 11 cm, ~4,5 kg)"",""1 x Panela de 2 litros (Diâmetro: 22 cm, Altura: 7 cm, ~4,0 kg)"",""1 x Panela de 1,5 litro (Diâmetro: 17 cm, Altura: 9 cm, ~3,2 kg)"",""1 x Frigideira de pedra (Diâmetro: 23 cm, Altura: 5 cm, ~3,0 kg)""]","[""Aquecimento uniforme e eficiente em toda a peça."",""Mantém os alimentos quentes por mais tempo, pois a pedra retém o calor após sair da fonte de calor."",""Compatível com fogão a gás, elétrico, carvão e lenha (exceto indução)."",""Design artesanal que valoriza sua cozinha."",""Durabilidade e resistência — cada peça artesanal é única e feita para durar.""]","3 meses contra defeitos de fabricação.","Por ser um produto 100% artesanal, podem ocorrer pequenas variações de medidas, capacidade e design, tornando cada peça única. Iniciamos o processo de cura antes do envio, e você precisará concluí-lo seguindo nossas instruções."
"set-3-pots-pressure-cooker-4l","Conjunto de 3 Panelas de Pedra + Panela de Pressão - 4 litros","Title","Default Title","Tradição, função e elegância em um só conjunto","Panela de Pressão 4L + 2L + 1,5L + 0,8L · Gás · Elétrico · Carvão · Fogão a Lenha","Conjunto Especial","[""1 x Panela de Pressão de 4 litros (Diâmetro: 23 cm, Altura: 12 cm, ~5,0 kg)"",""1 x Panela de 2 litros (Diâmetro: 22 cm, Altura: 7 cm, ~4,0 kg)"",""1 x Panela de 1,5 litro (Diâmetro: 17 cm, Altura: 9 cm, ~3,2 kg)"",""1 x Panela de 0,8 litro (Diâmetro: 14 cm, Altura: 9 cm, ~2,0 kg)""]","[""Aquecimento uniforme e eficiente em toda a peça."",""Mantém os alimentos quentes por mais tempo, pois a pedra retém o calor após sair da fonte de calor."",""Compatível com fogão a gás, elétrico, carvão e lenha (exceto indução)."",""Design artesanal que valoriza sua cozinha, com minerais naturais (ferro, cálcio, manganês) transferidos para a comida."",""Durabilidade e resistência — cada peça artesanal é única e feita para durar.""]","3 meses contra defeitos de fabricação.","Por ser um produto 100% artesanal, podem ocorrer pequenas variações de medidas, capacidade e design, tornando cada peça única. Iniciamos o processo de cura antes do envio, e você precisará concluí-lo seguindo nossas instruções."
"luxury-soapstone-water-filter-10l","Filtro de Água de Pedra-Sabão de Luxo 10L com Cobre Puro","Title","Default Title","Água naturalmente fresca • Decoração elegante • Acabamento premium artesanal","10L (5L superior + 5L inferior) · Bancada","Luxo","[""1 x Filtro de Água de Pedra-Sabão de 10 litros (5L superior + 5L inferior)"",""1 x Torneira"",""2 x Velas filtrantes"",""1 x Manual de instruções"",""Embalagem segura""]","[""A filtração natural ajuda a remover impurezas para uma água limpa e fresca."",""Mantém a água naturalmente fresca graças às propriedades térmicas da pedra-sabão."",""Design elegante e sofisticado — perfeito para cozinhas modernas, de luxo ou rústicas."",""Uma bela peça de destaque para a bancada e uma ótima ideia de presente."",""Acabamento premium artesanal em pedra-sabão natural e cobre puro — resistente e durável.""]","3 meses contra defeitos de fabricação.","Feito em um processo totalmente artesanal, por isso pequenas variações de dimensões, textura e coloração são normais e tornam cada peça única."
"soapstone-baking-pan-m","Forma de Pedra-Sabão M","Title","Default Title","A forma perfeita para massas, bolos e assados","32 x 20 cm · Forno · Gás · Fogão a Lenha","Forma","[""1 x Forma de Pedra-Sabão, tamanho M (Comprimento: 32 cm, Largura: 20 cm, Altura: 5,5 cm)"",""Alças de cobre""]","[""Tem a capacidade de liberar gradualmente o calor contido na pedra, mantendo seus alimentos quentes por cerca de 1 a 2 horas após o cozimento."",""Muito mais saudável! Alguns estudos recentes indicam a transferência de nutrientes benéficos (Fe, Zn, Ca, Mg) da panela para a comida."",""Material 100% natural — não transfere substâncias nocivas para a comida."",""Naturalmente antiaderente, facilitando muito a limpeza e o cozimento."",""Perfeita para massas, bolos, lasanhas e todo tipo de assados.""]","3 meses contra defeitos de fabricação.","Feito em um processo totalmente artesanal, por isso pode haver pequenas variações nas dimensões da peça."
"soapstone-grill-32cm-rechaud","Grelha de Pedra-Sabão 32cm + Rechaud","Title","Default Title","Grelhar em pedra refratária, direto na mesa","32 cm · Fogo Aberto · Gás · Rechaud de Mesa","Grelha","[""1 x Grelha de Pedra-Sabão (32 cm) com alças de cobre"",""1 x Base Rechaud de Pedra-Sabão""]","[""Tem a capacidade de liberar gradualmente o calor contido na pedra, mantendo seus alimentos quentes por cerca de 1 a 2 horas após o cozimento."",""Muito mais saudável! Alguns estudos recentes indicam a transferência de nutrientes benéficos (Fe, Zn, Ca, Mg) da panela para a comida."",""Material 100% natural — não transfere substâncias nocivas para a comida."",""A pedra refratária a torna excelente para grelhar carnes, omeletes e legumes gratinados."",""O rechaud incluso mantém seus pratos quentes direto na mesa.""]","3 meses contra defeitos de fabricação.","Feito em um processo totalmente artesanal, por isso pode haver pequenas variações nas dimensões da peça. A grelha precisará passar por um processo de cura antes do primeiro uso."
"fondue-set-pot-grill","Conjunto de Fondue – Panela (0,8L) + Grelha (32 cm)","Title","Default Title","Carnes grelhadas e fondue em um único conjunto","Panela 0,8L + Grelha 32cm + 2 Rechauds + Molheiras · Mesa","Conjunto Especial","[""1 x Grelha de pedra-sabão, 32 cm"",""1 x Panela de pedra-sabão, 0,8 L (Altura: 10 cm | Largura: 13 cm)"",""2 x Rechauds de pedra-sabão"",""1 x Molheira (Altura: 5 cm / Largura: 7 cm)"",""2 x Molheiras (Altura: 5 cm / Largura: 10 cm)"",""3 x Molheiras (Altura: 5 cm / Largura: 12 cm)""]","[""Tem a capacidade de liberar gradualmente o calor contido na pedra, mantendo seus alimentos quentes por cerca de 1 a 2 horas após o cozimento."",""Muito mais saudável! Alguns estudos recentes indicam a transferência de nutrientes benéficos (Fe, Zn, Ca, Mg) da panela para a comida."",""Material 100% natural — não transfere substâncias nocivas para a comida."",""Naturalmente antiaderente, facilitando muito a limpeza e o cozimento."",""Perfeito para carnes grelhadas e fondue de queijo ou chocolate, direto na mesa.""]","3 meses contra defeitos de fabricação.","As panelas de pedra são feitas em um processo totalmente artesanal, por isso pode haver pequenas variações nas dimensões das peças."
"fondue-set-pot-grill-27cm","Conjunto de Fondue – Panela + Grelha (27 cm)","Title","Default Title","Carnes grelhadas e fondue em um único conjunto","Panela 0,8L + Grelha 27cm + 2 Rechauds + Molheiras · Mesa","Conjunto Especial","[""1 x Grelha de pedra-sabão, 27 cm"",""1 x Panela de pedra-sabão, 0,8 L (Altura: 10 cm | Largura: 13 cm)"",""2 x Rechauds de pedra-sabão"",""1 x Molheira (Altura: 5 cm / Largura: 7 cm)"",""2 x Molheiras (Altura: 5 cm / Largura: 10 cm)"",""3 x Molheiras (Altura: 5 cm / Largura: 12 cm)""]","[""Tem a capacidade de liberar gradualmente o calor contido na pedra, mantendo seus alimentos quentes por cerca de 1 a 2 horas após o cozimento."",""Muito mais saudável! Alguns estudos recentes indicam a transferência de nutrientes benéficos (Fe, Zn, Ca, Mg) da panela para a comida."",""Material 100% natural — não transfere substâncias nocivas para a comida."",""Naturalmente antiaderente, facilitando muito a limpeza e o cozimento."",""Perfeito para carnes grelhadas e fondue de queijo ou chocolate, direto na mesa.""]","3 meses contra defeitos de fabricação.","As panelas de pedra são feitas em um processo totalmente artesanal, por isso pode haver pequenas variações nas dimensões das peças."
"soapstone-fondue-kit","Kit de Fondue de Pedra-Sabão – Queijo ou Chocolate + Molheiras","Title","Default Title","Tudo o que você precisa para o fondue dos seus sonhos","Panela 0,8L + Rechaud + Molheiras · Mesa","Kit Fondue","[""1 x Panela de pedra-sabão, 0,8 L (Altura: 10 cm | Largura: 13 cm)"",""1 x Rechaud de pedra-sabão"",""1 x Molheira (Altura: 5 cm / Largura: 7 cm)"",""1 x Molheira (Altura: 5 cm / Largura: 10 cm)"",""1 x Molheira (Altura: 5 cm / Largura: 12 cm)""]","[""Tem a capacidade de liberar gradualmente o calor contido na pedra, mantendo seus alimentos quentes por cerca de 1 a 2 horas após o cozimento."",""Muito mais saudável! Alguns estudos recentes indicam a transferência de nutrientes benéficos (Fe, Zn, Ca, Mg) da panela para a comida."",""Material 100% natural — não transfere substâncias nocivas para a comida."",""Naturalmente antiaderente, facilitando muito a limpeza e o cozimento."",""Perfeito para fondue de queijo ou chocolate, direto na mesa.""]","3 meses contra defeitos de fabricação.","As panelas de pedra são feitas em um processo totalmente artesanal, por isso pode haver pequenas variações nas dimensões das peças."
"complete-soapstone-fondue-set-32cm","Conjunto Completo de Fondue de Pedra-Sabão (Grelha 32 cm)","Title","Default Title","Bife grelhado e fondue para 3 a 6 pessoas","Grelha 32cm + 2x Panelas 0,8L + 3 Rechauds + 6 Molheiras + 6 Garfos · Mesa","Conjunto Completo","[""1 x Grelha de pedra-sabão de 32 cm"",""2 x Panela de pedra-sabão, 0,8 L (Altura: 10 cm | Largura: 13 cm)"",""3 x Rechauds de pedra-sabão"",""2 x Molheiras (Altura: 5 cm / Largura: 7 cm)"",""2 x Molheiras (Altura: 5 cm / Largura: 10 cm)"",""2 x Molheiras (Altura: 5 cm / Largura: 12 cm)"",""6 x Garfos de fondue de aço inox com cabos de plástico de alta resistência""]","[""Tem a capacidade de liberar gradualmente o calor contido na pedra, mantendo seus alimentos quentes por cerca de 1 a 2 horas após o cozimento."",""Muito mais saudável! Alguns estudos recentes indicam a transferência de nutrientes benéficos (Fe, Zn, Ca, Mg) da panela para a comida."",""Material 100% natural — não transfere substâncias nocivas para a comida."",""Naturalmente antiaderente, facilitando muito a limpeza e o cozimento."",""Perfeito para bife grelhado e fondue de queijo ou chocolate, direto na mesa.""]","3 meses contra defeitos de fabricação.","As panelas de pedra são feitas em um processo totalmente artesanal, por isso pode haver pequenas variações nas dimensões das peças."
